CountryS,CountryR,Amount,Year
POL,PRT,6014.3,2018
AUT,BGR,5160.12,2000
LTU,PRT,6667.8,2003
HUN,ESP,2651.48,2000
PRT,BGR,8509.03,2006
CZE,FRA,7385.67,2018
SVN,FRA,3461.1,2010
BEL,SVN,290.99,2019
GRC,GRC,5948.29,2000
LUX,BGR,9675.21,2019
HRV,POL,6685.72,2004
CYP,LUX,2787.7,2017
FRA,ROU,9369.91,2019
LVA,AUT,6883.97,2008
DNK,SWE,8740.91,2004
SVN,IRL,7278.73,2018
IRL,NLD,4053.8,2000
HUN,SVN,696.38,2006
MLT,HUN,5326,2007
AUT,ESP,2873.49,2004
DEU,LVA,8965.74,2003
IRL,BGR,1144.97,2002
LTU,GRC,7846.63,2001
GRC,DNK,8666.05,2019
SVK,DEU,9469.02,2014
DEU,SWE,108.15,2008
BGR,LVA,8989.05,2018
FIN,PRT,1756.21,2005
ROU,FRA,8142.58,2016
FRA,SWE,1180.8,2001
EST,LTU,2700.82,2004
SWE,LUX,4873.8,2019
CZE,MLT,3263.57,2009
BGR,ITA,3018.88,2019
ROU,LUX,5188.72,2001
FRA,DNK,5370.17,2010
BEL,HUN,5508.23,2010
HUN,DEU,1353.08,2013
ESP,AUT,8719.68,2004
AUT,ESP,3903.53,2001
EST,PRT,7208.55,2003
FRA,BEL,619.9,2015
ROU,GRC,6939.15,2015
LVA,LUX,6088.48,2000
BGR,SWE,9154.33,2005
POL,HRV,8985.9,2014
SVN,HRV,3910.7,2001
SVK,SVK,895.6,2014
BEL,EST,6048.93,2016
CYP,ROU,7444.35,2015
LVA,ESP,9760.74,2005
GRC,HUN,1480.44,2017
SWE,LTU,6366.76,2000
AUT,CZE,4203.75,2020
FRA,CZE,8752.2,2004
BGR,PRT,123.65,2007
LTU,EST,1645.15,2003
HUN,BEL,61.38,2009
LTU,DNK,7033.09,2019
MLT,ITA,3832.54,2000
NLD,HRV,7205.03,2000
SVN,FIN,7903.81,2008
POL,BEL,7237.56,2019
IRL,BGR,1992.51,2000
LUX,POL,7198.09,2018
ROU,MLT,9398.93,2019
DNK,EST,7504.83,2010
GRC,PRT,4418.92,2005
HUN,ESP,7302.27,2011
LUX,IRL,2203.87,2005
SVN,EST,3640.11,2005
CYP,HRV,6263.36,2005
NLD,DEU,4381.33,2011
HUN,SVK,5866.93,2020
SVN,BEL,7351.79,2012
PRT,FRA,1977.21,2020
CZE,HUN,3763.42,2004
ROU,HUN,8323.01,2011
HRV,GRC,546.05,2001
PRT,BGR,4615.56,2017
DEU,DEU,4867.21,2019
LVA,NLD,7855.53,2020
BGR,IRL,5000.84,2005
BEL,IRL,6277.54,2008
FRA,FIN,2588.81,2009
BGR,LTU,8002.9,2002
SVK,ITA,683.93,2010
SVN,MLT,2951.7,2019
LVA,NLD,7583.56,2002
SVN,BGR,3968.24,2017
SVK,GRC,7348.41,2017
ROU,BEL,5996.34,2007
GRC,DNK,4379.06,2003
ROU,ESP,9885.58,2016
MLT,CZE,8012.96,2007
FRA,BGR,7527.01,2002
CYP,SVK,7507.15,2016
POL,SVK,4087.72,2003
ESP,CZE,3380.67,2016
BGR,HRV,2608.92,2012
DEU,CZE,5359.5,2011
BGR,POL,4176.87,2017
EST,ESP,2016.43,2009
LTU,IRL,8139.44,2001
CYP,ITA,4862.39,2004
AUT,BEL,6892.75,2008
POL,SVK,9256.11,2005
HRV,BEL,1856.97,2009
NLD,ESP,8045.32,2007
ESP,LVA,9591.6,2016
AUT,BGR,4102.76,2003
BGR,CZE,468.38,2012
CYP,DNK,4138.3,2012
BEL,LUX,2219.83,2019
CZE,CZE,7156.11,2016
ITA,ESP,1595.36,2007
BEL,IRL,7595.95,2006
IRL,BEL,9464.85,2007
LTU,EST,906.28,2003
NLD,MLT,8109.1,2012
DNK,CZE,2924.13,2007
FRA,EST,4899.98,2002
GRC,HRV,5341.35,2012
NLD,DEU,6956.75,2010
CYP,MLT,2629.45,2016
FRA,IRL,9670.88,2003
FIN,FRA,9371.29,2015
ROU,ROU,9789.47,2019
HRV,POL,9397.43,2002
EST,ITA,4812.67,2015
CZE,AUT,2323.7,2004
POL,FIN,2254.04,2008
BEL,EST,4273.55,2019
EST,ESP,2587.41,2012
LVA,BEL,9564.17,2007
POL,LUX,2155.46,2019
LVA,SVK,3874.58,2002
SVK,SVK,9795.34,2010
ESP,ITA,5139.78,2007
LUX,NLD,5435.51,2018
BEL,SVK,6880.81,2012
DEU,POL,8878.07,2013
DNK,MLT,2868.54,2013
CZE,PRT,4409.07,2008
NLD,EST,7924.72,2007
BEL,BEL,1849.86,2008
GRC,SVN,3579.39,2013
IRL,ITA,6007.15,2016
LTU,DNK,7171.46,2008
SVN,LUX,2949.25,2011
IRL,FIN,7340.5,2018
PRT,IRL,2169.51,2001
BGR,FRA,6794.07,2011
BGR,SVN,1820.58,2002
ESP,FIN,6858.8,2001
HRV,LTU,7353.21,2020
NLD,POL,4104.84,2002
GRC,ESP,5479.68,2011
HRV,DEU,2045.92,2000
SVN,GRC,9989.98,2002
PRT,CYP,5084.92,2008
MLT,ITA,9960.21,2001
FRA,PRT,8681.9,2018
FRA,AUT,2921.7,2005
BEL,SWE,7259.84,2016
NLD,ROU,287.43,2015
NLD,IRL,2704.42,2001
LVA,SVN,7048.21,2017
AUT,PRT,8611.12,2018
GRC,SVK,5918.83,2018
FIN,SWE,6642.04,2011
GRC,ROU,7375.76,2017
PRT,CYP,1444.29,2003
PRT,SVK,4528.53,2017
FIN,FIN,5295.51,2007
ITA,BEL,6951.28,2015
HUN,LUX,6085.56,2016
ROU,LTU,4819.33,2000
BEL,ESP,4123.52,2016
FRA,AUT,2757.21,2010
FIN,POL,8391.52,2009
SVK,ESP,9907.02,2006
PRT,PRT,2016.26,2013
FIN,PRT,9443.25,2009
BGR,EST,5991.65,2004
AUT,LUX,146.19,2003
DNK,FRA,3896.9,2005
CYP,LTU,5665.54,2019
ESP,IRL,2857.04,2007
SVK,SWE,2768.39,2018
MLT,ROU,8594.81,2006
DEU,GRC,8484.43,2004
LUX,DEU,6987.41,2000
SVN,CYP,6628.49,2006
EST,PRT,2391.73,2002
HUN,SWE,2151.9,2019
ITA,EST,9202.14,2003
SWE,NLD,3637.08,2006
LVA,DEU,3703.29,2020
SVK,FIN,3735.47,2019
LVA,LTU,3851.76,2013
SVN,FRA,681.48,2004
CYP,SWE,1435.4,2010
ROU,HRV,6751.09,2004
ROU,ITA,3725.43,2016
LTU,BEL,7705.15,2017
NLD,LUX,3153.33,2019
SVN,DNK,5138.5,2019
HRV,NLD,2380.76,2007
EST,EST,6776.36,2012
FRA,EST,8239.81,2001
NLD,DNK,2177.47,2012
ESP,SVK,9460.51,2001
SVN,GRC,778.3,2007
LTU,SVK,8393.2,2000
SWE,HUN,3719.09,2010
IRL,ITA,4612.83,2010
SVN,SWE,4232.56,2003
SVN,POL,7571.94,2000
POL,LTU,5338.33,2006
HRV,GRC,6406.55,2018
ROU,MLT,4138.98,2019
MLT,SWE,426.88,2019
LTU,NLD,1992.88,2003
CYP,BEL,4047.97,2017
ESP,DEU,1163.94,2011
ROU,CZE,4402.43,2016
FRA,SVK,8208.3,2018
GRC,SWE,7948.4,2017
LUX,MLT,4427.7,2002
FRA,FRA,1943.85,2018
AUT,BEL,5297.48,2019
GRC,BEL,9960.07,2014
ROU,EST,7281.63,2012
LVA,CYP,2353.96,2012
HRV,DEU,3924.42,2020
LUX,ITA,6479.83,2006
HUN,LTU,4960.77,2013
PRT,SVN,6945.03,2016
MLT,DNK,1932.17,2011
SVK,FRA,1104.13,2015
HRV,EST,2929.7,2010
SVN,AUT,6601.06,2001
LUX,ESP,7268.68,2018
ESP,POL,3412.28,2001
SVN,GRC,2558.62,2005
NLD,LTU,5089.52,2020
GRC,LUX,4681.15,2020
BGR,GRC,6826.47,2003
CZE,BGR,8204.11,2004
IRL,FRA,3809.21,2018
POL,DNK,5733.91,2018
SVK,NLD,6776.44,2014
SVK,LVA,8179.24,2014
GRC,ESP,5483.96,2017
SWE,EST,1384.77,2012
POL,PRT,606.59,2014
SVN,CYP,9287.11,2008
BGR,NLD,6136.16,2001
GRC,LUX,7481.52,2011
DEU,HUN,932.36,2018
LUX,ESP,585.58,2017
IRL,HRV,8511.26,2020
SVN,LTU,1895.8,2014
ROU,LTU,6054.12,2015
POL,BEL,1248.5,2012
CZE,BEL,6181.26,2009
EST,EST,221.14,2014
ROU,ESP,1679,2014
GRC,LUX,6813.67,2014
PRT,NLD,7251.72,2012
DEU,LUX,1373.36,2013
LVA,ESP,6884.95,2004
LVA,GRC,6620.84,2016
SVN,AUT,6621.93,2011
SWE,ITA,1277.75,2003
SVK,DEU,3705.68,2016
CYP,SWE,2138.02,2008
PRT,AUT,2738.47,2012
ROU,EST,4321.39,2015
CZE,SVK,350.85,2009
ESP,SVK,7491.09,2005
BEL,LVA,174.15,2017
AUT,SWE,6631.57,2003
SVN,CZE,3542.67,2007
CZE,AUT,7557.42,2017
LUX,ITA,7745.35,2016
BGR,POL,6273.46,2011
CZE,IRL,8746.99,2012
ROU,NLD,356.9,2014
BGR,HRV,217.65,2008
CYP,ESP,3488.61,2015
BGR,HUN,5299.16,2005
BGR,HUN,8794.61,2000
POL,POL,9897.07,2000
IRL,ESP,2345.2,2001
SVN,DNK,2157.66,2018
NLD,FIN,8963.11,2002
IRL,IRL,9121.47,2004
LVA,SVN,9526.34,2016
SVK,PRT,3482.24,2009
PRT,CZE,9330.25,2017
LTU,NLD,4604.59,2009
MLT,LUX,1464.03,2005
GRC,LTU,3514.3,2009
FIN,EST,4665.45,2016
PRT,DEU,3518.34,2002
BEL,DNK,3011.27,2006
ITA,EST,7338.15,2011
LVA,CZE,2400.19,2007
LTU,ITA,7178.15,2015
PRT,ITA,3774.26,2013
PRT,IRL,4384.24,2020
GRC,SWE,1307.43,2014
BEL,CZE,4903.94,2001
ROU,ESP,1028.89,2020
ROU,SWE,9235.55,2011
DEU,EST,6276.45,2006
HRV,ESP,2827.67,2010
POL,FIN,7603.9,2016
SWE,SWE,28.85,2006
AUT,NLD,1469.21,2013
SVN,LTU,1951.8,2011
IRL,BGR,2812.54,2002
CZE,ITA,9708.36,2008
IRL,BGR,7826.53,2008
CZE,FIN,4647.29,2020
SVK,IRL,659.46,2002
SVK,FRA,577.3,2012
LVA,MLT,9257.27,2014
FIN,BEL,6818.38,2016
HRV,CYP,6596.62,2013
IRL,PRT,4247.18,2013
CYP,HRV,6889.89,2014
LTU,CZE,4351.04,2016
LVA,BGR,3806.39,2009
NLD,IRL,41.48,2008
FRA,DEU,3873.46,2003
DNK,SWE,5748.02,2012
BEL,DEU,2815.57,2018
GRC,BGR,1916.14,2008
FRA,ROU,2930.59,2005
GRC,CYP,9424.17,2018
ROU,MLT,1006.58,2018
SVK,IRL,2709.26,2006
DEU,NLD,3212.47,2006
ROU,ROU,7127.54,2019
POL,SWE,7846.72,2017
DEU,NLD,4329.63,2019
HRV,LTU,2612.42,2017
ITA,GRC,1825.16,2017
CZE,SVN,3455.16,2020
DEU,IRL,8775.29,2004
PRT,LTU,1034.12,2011
LTU,MLT,6695.66,2020
ESP,IRL,8805.34,2019
EST,BEL,9555.99,2001
HRV,SVN,4987.84,2008
POL,SVN,2705.43,2020
CZE,ROU,9979.55,2000
MLT,LVA,9024.27,2018
ITA,ITA,6487.24,2009
FRA,CZE,8922.63,2005
NLD,EST,9206.1,2013
POL,EST,9047.88,2009
FRA,SWE,5036.27,2004
GRC,NLD,4096.45,2004
AUT,AUT,8007.67,2009
POL,BEL,7562.16,2020
SVN,FIN,83.87,2005
FRA,FIN,7215.99,2004
DEU,DNK,1856.05,2018
FRA,AUT,6129.72,2008
DNK,ESP,6141.24,2012
CYP,MLT,307.72,2013
BEL,PRT,554.37,2019
AUT,CYP,1140.53,2003
ROU,BEL,5095.67,2007
POL,HRV,7342.38,2006
PRT,LTU,5755.11,2006
MLT,BGR,2283.96,2007
IRL,SWE,3426.03,2000
AUT,NLD,8881.33,2002
MLT,NLD,7793.6,2009
ITA,CZE,694.79,2003
DEU,SVN,8846.25,2008
DEU,LTU,7292.39,2011
DNK,DNK,2114.32,2016
AUT,POL,4998.61,2012
FRA,PRT,7334.59,2001
ITA,PRT,8817.4,2005
PRT,CYP,7707.33,2000
CZE,POL,2807.95,2008
DNK,ITA,9946.71,2018
DEU,NLD,6350.23,2008
CYP,POL,706.65,2002
LTU,FRA,5634.79,2000
GRC,SVK,5755.45,2004
ESP,GRC,2464.54,2017
SVN,FIN,6099.36,2019
CZE,DEU,9851.6,2019
DEU,PRT,4311.39,2006
ESP,SWE,7177.19,2006
CZE,PRT,1534.86,2007
NLD,SVK,5335.14,2005
ROU,HUN,3519.75,2008
ROU,SVN,6680.85,2006
HUN,LUX,749.05,2007
CZE,DEU,1388.44,2008
HRV,SWE,9210.54,2018
HUN,SVN,7553.02,2005
IRL,ESP,8061.2,2007
DNK,HRV,3838.76,2007
HUN,MLT,7576.33,2008
SVK,HUN,9306.48,2008
HUN,NLD,4487.59,2015
LVA,DEU,1312.66,2005
AUT,HRV,4188.35,2007
LTU,AUT,8212.58,2001
PRT,LTU,7284.11,2001
IRL,LVA,7446.57,2006
CYP,DEU,7187.57,2001
FRA,BGR,2892.28,2001
FRA,HUN,7069.72,2011
CYP,DNK,4974.59,2019
HRV,ROU,4694.79,2015
DNK,HRV,4035.49,2010
LUX,NLD,8963.01,2009
HRV,AUT,6106.3,2001
ESP,SWE,4524.86,2004
DEU,HUN,1522.53,2011
NLD,NLD,1666.66,2018
IRL,ESP,7328.13,2004
BGR,SVK,9570.83,2008
HUN,HUN,7961.21,2018
POL,DEU,7451.29,2020
AUT,BGR,3466.58,2019
BGR,FIN,8278.07,2008
ESP,LTU,8906.9,2000
ESP,BGR,96.07,2013
ITA,IRL,4056.72,2017
BEL,HUN,4112.99,2002
SWE,LVA,6382.16,2020
LVA,HUN,9995.42,2011
SWE,FIN,3487.87,2009
CZE,BGR,5818.07,2013
BEL,MLT,179.25,2007
SWE,ESP,4247.2,2008
SVK,EST,5938.07,2017
ROU,MLT,1016.1,2005
POL,POL,3959.35,2011
CYP,SVN,9521.06,2005
SVN,HRV,7366.94,2018
LTU,ROU,3188.14,2008
DNK,LTU,387.58,2014
ROU,GRC,1765.62,2006
LVA,CZE,9766.98,2002
FIN,FIN,8912.64,2009
HRV,FIN,8857.81,2016
LUX,CZE,171.42,2016
CZE,DEU,7980.86,2005
MLT,ESP,6580.75,2020
MLT,DNK,1475.94,2017
IRL,FRA,4715.17,2000
ROU,CZE,2752.53,2009
HUN,SVK,1762.51,2001
DNK,FRA,8818.2,2013
NLD,SWE,9194.15,2002
FIN,EST,2196.35,2007
BGR,ROU,9083.6,2002
LUX,HUN,6223.46,2019
SVK,IRL,1246.61,2003
SVN,GRC,1173.25,2006
BEL,POL,9567.16,2000
IRL,ITA,2085.37,2007
LTU,ROU,9621.89,2000
BEL,SVN,5016.6,2010
IRL,SVN,6312.5,2012
NLD,LUX,6907.84,2017
BEL,LTU,3527.91,2000
SVK,ROU,4109.93,2017
DNK,EST,3528.91,2017
EST,POL,5908.85,2009
ESP,BGR,2237.05,2019
SVK,FRA,2160.94,2015
HRV,CYP,5821.6,2012
LUX,ROU,2858.41,2003
IRL,AUT,8284.83,2007
HRV,CYP,5446.69,2001
CYP,EST,5536.03,2008
POL,EST,1694.02,2009
LTU,ESP,9569.57,2015
BGR,FRA,1162.34,2013
LTU,HRV,4013.22,2000
BGR,BGR,6270.49,2000
FIN,FRA,7247.06,2017
SWE,LVA,3556.25,2001
FIN,GRC,8781.76,2006
HUN,EST,4314.49,2008
FRA,BEL,2815.93,2000
FIN,ESP,3938.46,2008
LVA,FRA,812.02,2004
FIN,FIN,7745.51,2015
LUX,LUX,94.51,2001
POL,IRL,5319.33,2015
SWE,AUT,4824.52,2012
IRL,BGR,1068.02,2007
FRA,FIN,9687.01,2003
CZE,SVN,1383.33,2013
LUX,BEL,1118.73,2002
BGR,GRC,7387.19,2003
IRL,SVN,6763.83,2006
BEL,BEL,3973.42,2001
NLD,AUT,1120.84,2012
CYP,SVK,1783.04,2005
HRV,FRA,6044.12,2011
FIN,HRV,9955.2,2008
ROU,CZE,8389.3,2003
BEL,FRA,1972.93,2007
LVA,HUN,7880.48,2017
AUT,HRV,5593.83,2015
SVK,ITA,5668.13,2011
CZE,SVK,5628.48,2019
POL,AUT,1461.42,2020
BGR,LVA,4125.72,2015
ESP,CYP,247.62,2005
