CountryS,CountryR,Amount,Year
PAN,SWE,5686.55,2009
ANT,SVN,599.91,2001
HTI,GRC,7005.67,2016
BES,BEL,7260.18,2008
PRI,DNK,6694.2,2006
CHL,IRL,8479.18,2020
SPM,FRA,4282.39,2016
BOL,PRT,674.27,2005
SLV,AUT,8662.15,2012
PRY,BEL,6030.46,2008
MEX,BGR,471.43,2005
BRA,POL,8149.64,2000
AIA,LUX,4200.48,2017
TTO,CYP,7835.34,2004
TCA,DEU,1089.09,2016
DMA,ESP,7916.25,2006
BHS,HRV,6924.84,2018
HND,GRC,5944.27,2020
DMA,DNK,5653.52,2020
SPM,FIN,6754.76,2005
FLK,SVK,3054.47,2011
MEX,LUX,4430.91,2017
GUY,SWE,5517.08,2011
KNA,CYP,2598.3,2003
VIR,EST,6938.96,2008
GRL,HRV,6432.84,2019
CRI,ITA,7465.34,2010
AIA,BGR,3435.24,2007
BES,POL,857.57,2004
CAN,ROU,9249,2003
SPM,SVK,6101.84,2003
CHL,ROU,7681.27,2012
SPM,FIN,3492.13,2008
BOL,LTU,4618.29,2017
GRL,FIN,3782.07,2017
CHL,CYP,6556.19,2013
DMA,PRT,6913.94,2003
VEN,SVK,6598.29,2014
CYM,ESP,5852.32,2007
BOL,LUX,9859.48,2019
DOM,ESP,1458.33,2012
MEX,ESP,3269.94,2006
ECU,MLT,509.66,2018
SXM,ESP,2069.45,2015
MEX,ESP,5357.7,2017
CHL,FRA,4038.16,2014
ATG,CYP,2.03,2019
VEN,EST,7738.33,2019
PAN,ESP,2484.11,2020
GLP,ESP,9096.22,2007
BRB,AUT,2179.44,2006
MEX,LTU,3968.16,2020
CUW,LTU,5088.97,2020
VEN,PRT,8224.16,2011
MEX,ESP,4935.43,2020
CYM,DNK,4894.38,2002
BOL,IRL,7196.01,2018
AIA,PRT,3294.1,2000
TCA,MLT,8806.87,2011
COL,LUX,1683.32,2012
PRY,POL,5729.36,2014
CUB,LVA,2102.52,2013
BRB,GRC,6538.26,2009
DOM,FRA,3904.41,2009
AIA,LVA,5274.78,2012
USA,MLT,7420.57,2019
MSR,LVA,5411.17,2015
CAN,NLD,7152.18,2018
HTI,EST,9272.21,2012
DMA,CYP,5935.91,2015
DMA,LUX,5200.78,2004
ABW,ROU,6099.17,2010
HND,AUT,5565.62,2018
GLP,BEL,1028.57,2008
GTM,SWE,3275.49,2015
PAN,HUN,2106.16,2013
HTI,LTU,2360.81,2001
CUW,DEU,2115.6,2001
GLP,MLT,8307.25,2011
BLM,FIN,1210.57,2002
COL,HUN,7074.91,2001
BMU,SWE,1855.37,2001
MAF,SWE,2583.6,2017
BRB,FIN,7538.53,2003
CRI,FRA,3250.58,2010
GRD,ROU,9449.29,2017
SPM,CZE,2947.74,2016
MAF,DNK,339.82,2020
GRL,SWE,1358.93,2007
BMU,SWE,2681.43,2015
MEX,IRL,4893.58,2012
GLP,LVA,3849,2006
SLV,GRC,5735.37,2003
AIA,HRV,8120.35,2019
VIR,ESP,178.63,2001
VCT,AUT,4366.28,2006
SPM,PRT,8634.11,2000
ARG,BEL,6608.29,2000
SPM,BEL,714.73,2000
SLV,HUN,2641.46,2004
PER,SVK,5590.61,2019
PER,NLD,4636.44,2017
PRY,MLT,5549.39,2008
GTM,BGR,5530.79,2001
TCA,ROU,2166.01,2013
FLK,SVN,4824.64,2013
MAF,IRL,9565.5,2015
ATG,NLD,7805.45,2001
BLZ,DNK,4304.25,2012
LCA,LTU,3837.05,2018
KNA,ITA,5155.23,2011
BRA,GRC,473.7,2009
PRI,HRV,6808.28,2005
CHL,ITA,3623.68,2000
GUY,CYP,2596.62,2008
MSR,HUN,6326.02,2019
ARG,IRL,8720.01,2012
LCA,EST,7319.89,2000
FLK,SWE,1996.91,2008
SUR,FIN,9006.07,2003
FLK,GRC,8069.97,2004
GUY,HRV,2347.59,2019
DOM,FIN,7936.28,2017
KNA,BGR,3366.11,2004
BMU,SVN,586.77,2008
GLP,SVK,306.44,2008
BRA,LTU,3475.21,2006
PRY,SVK,8863.61,2002
HTI,GRC,2096.84,2013
KNA,AUT,6725.99,2002
PRI,FIN,8688.03,2003
BLZ,EST,6415.73,2014
URY,BEL,7880.87,2011
LCA,GRC,2410.21,2013
CAN,LTU,8721.93,2003
BES,ITA,6895.82,2009
CRI,DNK,8443.66,2014
JAM,ROU,1787.07,2012
FLK,SWE,7606.87,2001
USA,PRT,7115.72,2020
PAN,ROU,4954.22,2000
HND,DEU,7318.56,2002
URY,HUN,9259.63,2015
CHL,ROU,9330.01,2007
SPM,ROU,2508.93,2008
HTI,ITA,5443.69,2004
SPM,IRL,1279.78,2012
ECU,LTU,2833.08,2018
MAF,FRA,1481.94,2008
SUR,HUN,2150.21,2003
PER,ESP,1332.47,2016
SPM,IRL,7840.3,2016
CHL,FIN,3041.62,2003
URY,FRA,7377.82,2002
BRA,HRV,8337.39,2005
SXM,DNK,4886.35,2019
SPM,EST,1071.7,2012
DOM,PRT,9823.74,2008
ATG,SVK,9586.69,2018
BRA,PRT,7701.56,2015
GTM,NLD,5770.1,2016
MEX,ESP,1069.74,2013
VEN,POL,4969.19,2005
CAN,BGR,2160.24,2017
DMA,ESP,4661.98,2002
ANT,GRC,2208.97,2014
VGB,POL,1587.34,2006
GRL,SVN,4097.04,2009
MEX,CYP,4695.78,2004
AIA,ROU,8462.12,2007
CUB,FRA,3295.1,2007
SXM,SVN,9255.14,2004
GRD,HRV,4271.53,2020
VIR,CYP,129.22,2020
NIC,LTU,2005.91,2004
ANT,GRC,2144.63,2008
CUW,ROU,1479.58,2012
MTQ,FRA,2184.18,2007
CHL,POL,6400.7,2016
BRA,HUN,8152.34,2011
BLM,BEL,5750.17,2009
BRB,GRC,5961.42,2012
ATG,ROU,8149.79,2017
MAF,BEL,1186.35,2019
PAN,FRA,4062.12,2017
LCA,CYP,2124.86,2000
GUY,EST,5.61,2006
KNA,ESP,5101.19,2020
CUW,GRC,892.95,2001
FLK,FRA,5607.73,2005
BRA,NLD,306.93,2005
BRA,SWE,4734.15,2017
GUF,IRL,986.01,2000
MEX,LVA,3342.72,2005
BLM,HUN,9302.52,2006
CUW,FRA,2092.38,2008
TCA,LVA,7071.1,2009
GUF,LUX,9976.67,2003
BES,SWE,8169.19,2007
CAN,SWE,8735.8,2002
SLV,LVA,376.83,2005
SPM,DEU,9364.91,2002
VIR,LUX,4402.88,2010
PRI,GRC,3372.54,2011
ATG,HUN,6274.21,2016
DOM,DEU,9863.42,2014
GRL,SVK,4172.04,2009
SUR,DNK,5431.9,2015
CUW,ITA,8546.96,2015
BOL,FRA,594.7,2002
CYM,MLT,2749.03,2007
DOM,GRC,6761.36,2010
KNA,LTU,6233.27,2003
BLM,MLT,5834.86,2018
KNA,NLD,3948.1,2019
ATG,GRC,9184.63,2010
FLK,LVA,6064.71,2008
TTO,DNK,9200.06,2008
HND,ESP,6500.04,2011
CRI,FRA,4213.26,2018
JAM,CZE,7735.89,2012
ECU,AUT,1998.56,2005
VGB,CZE,5749.47,2019
GRL,BGR,424.23,2014
TCA,SVN,1042.51,2013
NIC,BEL,904.52,2003
ATG,FIN,7283.54,2015
DOM,SVN,2866.3,2010
PRY,BGR,6514.66,2014
GUY,SVK,3430.45,2017
NIC,SVK,4220.01,2002
MEX,HUN,4191.65,2014
ECU,POL,8205.11,2005
BHS,IRL,7214.59,2009
CUW,GRC,4353.51,2018
FLK,LVA,4623.28,2012
BLM,BGR,7777.25,2000
URY,FIN,1467.23,2013
BLM,GRC,6058.13,2019
BOL,BEL,8435.88,2000
HND,MLT,9132.09,2002
HND,HRV,2537.72,2015
VEN,BEL,3319.72,2016
BHS,MLT,789.7,2007
ARG,FIN,4118.18,2020
PAN,LUX,7731.18,2020
MTQ,MLT,7898.46,2017
MTQ,POL,1157.22,2001
CAN,ESP,1416.94,2018
CYM,DNK,5859.74,2015
SXM,LUX,8942.56,2002
PRI,SWE,9259.57,2013
MEX,LUX,9604.66,2001
HND,SWE,1654.8,2008
BLM,SWE,4552.01,2010
SXM,HUN,8627.86,2014
URY,POL,6729.24,2006
BMU,LTU,9090.18,2011
CYM,LUX,8827.09,2015
ATG,LUX,5380.51,2004
SPM,SWE,9994.33,2007
CHL,LTU,3951.87,2016
ECU,HRV,9541.41,2014
ABW,LTU,7712.56,2011
BRA,NLD,7440.45,2015
SXM,POL,3467.26,2018
AIA,DNK,2334.25,2007
SXM,IRL,3126.49,2004
VCT,SWE,6725.2,2011
HTI,ITA,1433.52,2002
COL,FIN,4232.97,2008
JAM,BGR,8120.7,2000
BRB,ESP,8047.79,2014
PRY,IRL,5147.47,2006
VIR,FIN,4053.47,2002
CUB,SVK,9517.3,2014
ABW,CYP,880.68,2001
COL,LVA,5613.25,2009
ARG,HRV,7069.07,2019
KNA,CZE,8616.41,2016
COL,MLT,7335.84,2016
MTQ,ESP,9208.81,2003
ABW,POL,7790.49,2002
SLV,ESP,7271.14,2001
USA,POL,3488.18,2011
GLP,POL,6827.58,2019
DOM,DEU,6505.4,2004
GUF,FIN,6393.32,2016
GTM,ESP,8494.11,2006
VEN,LTU,9006.13,2002
CYM,HUN,5395.56,2011
PER,DEU,3544.49,2013
COL,PRT,3895.65,2020
DOM,EST,4423.46,2003
CUB,LTU,8499.47,2017
BRA,MLT,3175.84,2000
MAF,AUT,3140.81,2020
ABW,BEL,5245.98,2004
VCT,GRC,8433,2001
PRI,DEU,868.51,2001
BOL,BGR,1773.12,2004
TTO,BEL,6725.93,2020
VIR,SVK,6476.45,2014
BES,SVK,2902.2,2011
ATG,GRC,1850.52,2018
LCA,LUX,5561.88,2020
GRD,HRV,4863.87,2017
BES,SWE,7532.26,2017
SUR,HUN,7481.17,2001
MSR,AUT,1203.29,2018
USA,HRV,9208.31,2008
SXM,BEL,5928.47,2004
GUY,ESP,1026.55,2006
ARG,CZE,7004.54,2015
GUF,PRT,6504.99,2018
ARG,LVA,4244.04,2006
HND,HUN,7291.86,2009
BHS,EST,8593.5,2001
CHL,ITA,7544.3,2018
SLV,SVN,2363.31,2017
BLZ,ROU,3518.04,2005
CHL,HRV,734.77,2003
CRI,CZE,2294.06,2013
ABW,PRT,1309.54,2015
MSR,MLT,1285.01,2016
BLM,BGR,1372.49,2000
DMA,LVA,5126.87,2002
GRL,LVA,7438.72,2004
PRI,EST,6275.04,2020
SLV,HUN,4668.87,2000
MEX,ESP,8516.87,2000
ANT,CYP,3150.2,2020
CUW,ESP,3123.18,2016
BLZ,GRC,4650.7,2010
SLV,ESP,4825.04,2009
MAF,POL,3443.06,2018
VIR,FIN,2.52,2005
KNA,MLT,6420.73,2009
BLM,CZE,7884.39,2003
JAM,SWE,4194.02,2002
GLP,BGR,1920.69,2004
SXM,CYP,3900.01,2013
BLM,FIN,3941.98,2013
PRY,SVN,1242.17,2003
VEN,EST,6921.71,2002
VCT,NLD,4073.46,2020
GRL,HRV,6534.82,2008
ECU,SWE,3026.05,2002
GLP,ITA,5919.35,2010
GRD,CYP,4223.42,2005
COL,FIN,4635.84,2010
BES,CYP,3297.13,2019
AIA,LTU,8617.01,2005
SPM,POL,3024,2007
BMU,FIN,6897.09,2008
TCA,ITA,8903.1,2018
CUW,SVK,4198.32,2018
VEN,IRL,8654.86,2015
MSR,GRC,8769.55,2009
CRI,LTU,3224.38,2012
MEX,ITA,4232.12,2017
TCA,AUT,9887.8,2009
VCT,DEU,8099.46,2003
MEX,DNK,5167.63,2003
MTQ,AUT,6122.9,2019
BRB,POL,3887.49,2020
ARG,IRL,1937.37,2010
GRD,BEL,2935.19,2012
PRI,HRV,1027.98,2008
CRI,CZE,6683.18,2015
KNA,LUX,1955.01,2009
GUF,GRC,7655.76,2014
SXM,HRV,8998.22,2011
BHS,SWE,89.06,2012
COL,BGR,2976.7,2012
MSR,SVK,8953.41,2017
ARG,NLD,5811.54,2009
PER,BGR,6025.98,2006
DMA,DEU,1812.09,2003
GLP,SWE,7289.8,2010
VIR,BGR,1361.75,2019
DEU,VIR,3658.59,2014
CZE,SPM,1158.62,2004
DNK,MSR,3579.65,2005
EST,AIA,9044.66,2012
FRA,BLZ,4514.87,2000
GRC,SXM,8313.82,2003
SVN,ABW,8111.66,2001
CZE,SPM,196.85,2005
LUX,KNA,7649.62,2017
ITA,JAM,5441.15,2005
LVA,BRA,368.85,2020
DEU,GUY,7261.83,2015
GRC,BMU,7696.45,2017
SVK,ARG,3722.35,2010
LTU,CAN,2416.04,2016
SWE,MAF,9560.76,2003
SVN,GRL,7773.69,2006
CYP,GLP,151.61,2009
FIN,TCA,1884.67,2011
LUX,PER,3290.5,2018
ITA,TCA,9370.94,2002
POL,BLZ,1889.99,2011
BEL,LCA,3707.82,2011
HRV,HTI,9012.34,2004
ROU,GTM,1728.59,2003
SVK,DOM,727.74,2012
DEU,ABW,3769.22,2010
GRC,ABW,3465.35,2016
EST,DOM,1887.71,2002
FIN,PER,1438.96,2009
AUT,BMU,3997.94,2016
GRC,USA,918.76,2020
MLT,VGB,7744.84,2001
DEU,ECU,6526.17,2020
LUX,CRI,8110.25,2005
POL,BOL,8694.58,2014
ITA,MTQ,8243.39,2007
LVA,SPM,2272.69,2020
HRV,DOM,1609.02,2001
ROU,GRD,8880.48,2018
LTU,TCA,6724.16,2003
NLD,CRI,8780.66,2018
DNK,PER,1452.04,2013
PRT,VIR,4225.78,2000
DEU,BLZ,624.25,2000
NLD,CUB,4762.19,2012
SWE,TTO,5281.17,2009
LTU,SLV,7348.33,2018
LTU,BLM,3615.32,2003
FRA,BRA,8860.82,2010
AUT,COL,4753.25,2015
IRL,SUR,7470.48,2000
SVK,SLV,7745.67,2011
LUX,DMA,6100.6,2009
BGR,JAM,4676.91,2005
EST,CUB,9964.29,2009
CYP,GTM,2563.66,2006
GRC,VGB,4489.42,2008
SWE,CAN,9930.81,2006
SVN,PRI,8700.55,2009
ITA,ECU,8351.29,2014
MLT,LCA,1922.36,2018
ITA,BOL,5265.07,2012
DNK,COL,7052.21,2016
CZE,BHS,405.02,2016
MLT,SUR,442.23,2006
EST,BMU,1951.08,2014
AUT,PRI,5601.99,2004
ITA,TTO,5721,2007
FRA,BMU,516.82,2013
IRL,BLZ,4253.52,2004
DEU,VEN,4136.08,2009
POL,BES,2298.31,2010
SVN,ANT,4509.41,2017
SWE,BMU,8518.84,2019
NLD,VGB,7196.8,2015
FIN,TTO,3720.75,2004
CYP,AIA,6823.66,2017
ESP,ECU,6578.46,2019
HUN,CAN,6702.72,2006
ITA,BLZ,2921.64,2002
AUT,GRL,5729.11,2016
DEU,HTI,646.67,2008
FRA,COL,7741.14,2020
GRC,SUR,2073.79,2010
ESP,ATG,5386.81,2000
NLD,CRI,6529.2,2009
HRV,BHS,4457.66,2006
DEU,ARG,5620.23,2008
SVK,CAN,6291.28,2011
ITA,NIC,3851.54,2004
BGR,BLZ,146.91,2004
SVN,GRL,3060.01,2013
ESP,PRI,5787.3,2019
NLD,PAN,3033.37,2005
GRC,TCA,9222.48,2006
CZE,BRB,7463.62,2013
ESP,BES,9932.97,2008
ESP,MAF,7054.28,2012
HUN,ABW,52.24,2007
SWE,JAM,9368.55,2000
LVA,SPM,5059.51,2010
ITA,ECU,369.22,2004
CZE,DMA,8217.56,2007
ESP,PER,2030.76,2003
GRC,MTQ,9193.88,2015
LVA,MEX,442.28,2002
LVA,NIC,1601.75,2018
FIN,ECU,36.38,2013
AUT,PER,6598.04,2014
LVA,PRY,4913.62,2018
DEU,COL,1752.48,2005
EST,BLM,1615.35,2020
ESP,VCT,9902.14,2018
CZE,ARG,1488.18,2000
POL,CYM,9698.81,2016
LUX,ATG,2240.64,2003
ROU,VGB,6049.28,2008
BEL,ANT,9555.76,2011
FRA,GTM,2657.82,2005
PRT,ARG,7006.06,2016
IRL,SXM,8737.45,2013
FRA,COL,5571.05,2002
POL,BHS,810.55,2013
HUN,GTM,9271.43,2012
BEL,DOM,5644.69,2005
AUT,BES,8561.94,2002
LUX,TCA,3054.49,2001
AUT,NIC,3118.69,2002
CYP,SLV,2082.97,2018
POL,FLK,6921.48,2000
EST,CRI,517.05,2011
NLD,AIA,7158.68,2005
CYP,PRI,7512.67,2016
CYP,BMU,6885.32,2020
LUX,LCA,1545.74,2014
DEU,SUR,1723.68,2004
LVA,CRI,6669.83,2012
IRL,SLV,4823.06,2007
BGR,CAN,2243.44,2000
SWE,CRI,7618.16,2003
ROU,SXM,9105.29,2000
DNK,BMU,3704.66,2014
BEL,BLM,4669.26,2000
DNK,JAM,5185.46,2014
HRV,VCT,6871.05,2013
FIN,VIR,2832.42,2018
SVN,MAF,8968.38,2008
CYP,MSR,7688.48,2017
MLT,HTI,9821.65,2004
LTU,ARG,2276.11,2017
CYP,SXM,230.03,2004
HRV,GUF,3826.95,2014
CYP,CYM,9118.84,2002
ROU,CHL,9141.03,2007
DEU,GTM,9324.58,2007
HUN,TTO,4317.48,2008
LTU,ATG,3372.52,2011
FIN,CYM,956.41,2000
DEU,BRB,1538.95,2018
POL,BMU,6040.33,2014
FIN,ECU,3257.93,2003
SVK,BLM,3110.58,2003
LUX,ECU,8968.36,2017
IRL,ATG,161.66,2002
MLT,FLK,4085.57,2006
ITA,SXM,4923.35,2019
ITA,SXM,5371.46,2011
LUX,BRA,7526.29,2013
GRC,MTQ,7352.51,2020
MLT,ECU,7926.5,2012
CZE,USA,6635.54,2011
MLT,BMU,1963.93,2008
FRA,SPM,3700.36,2009
MLT,ECU,8987.38,2012
POL,MTQ,3815.07,2015
LTU,GUF,6277.21,2011
IRL,PRI,5277.88,2000
GRC,ECU,6348.19,2007
BGR,LCA,3962.79,2001
SVN,ECU,3320.8,2013
SVK,JAM,3154.47,2000
AUT,GTM,9099.57,2002
DEU,ECU,168.22,2017
LTU,URY,4464.38,2006
DEU,CUB,5752.27,2002
CZE,SPM,7961.73,2004
FRA,GLP,8842.85,2006
SWE,PRI,2988.55,2003
SWE,ANT,1500.02,2017
LUX,ATG,7272.34,2010
CZE,VEN,8099.31,2002
HRV,BMU,7571.82,2000
HUN,ATG,9541.82,2004
DNK,PRI,9451.7,2003
LUX,MTQ,555.32,2006
SVN,BLZ,239.47,2002
CYP,GUF,5477.94,2012
CZE,ATG,163.47,2004
MLT,CUB,3611.17,2017
POL,NIC,2165.82,2020
NLD,PRY,4286.27,2012
FIN,BLM,7869.95,2015
EST,HTI,8400.11,2018
IRL,VIR,3332.21,2004
LUX,URY,7495.14,2005
CYP,SXM,8898.63,2019
SVN,MEX,4058.58,2004
MLT,CYM,7661.67,2008
ESP,MEX,8004.07,2014
FIN,KNA,1729.08,2007
SVK,JAM,5631.26,2010
LTU,MEX,8197.33,2020
DEU,BES,5601.58,2000
LUX,CHL,6858.29,2002
SVK,CUW,3088.29,2005
ITA,BRB,5960.11,2017
DNK,BRB,1758.59,2016
LTU,BLM,2493.83,2019
GRC,PER,1409.35,2001
LTU,GTM,5993.25,2015
BEL,FLK,4085.26,2001
EST,BOL,9946.27,2008
BEL,GUF,9138.05,2006
LUX,GRL,9407.37,2020
PRT,VGB,9474.86,2012
FRA,DMA,269.57,2009
HRV,GRL,6448.47,2008
LVA,MTQ,2591.23,2008
GRC,BOL,6140.29,2001
ESP,GUY,4907.11,2019
LUX,PER,7778.34,2005
CYP,SUR,6909.92,2012
ESP,LCA,2664.22,2005
EST,GRD,8433.71,2014
CYP,GUY,8878.04,2006
CZE,BMU,3635.42,2007
ROU,NIC,8112.19,2003
AUT,BRB,3790.39,2012
ITA,TCA,9460.91,2006
HUN,HND,4507.81,2012
LUX,ARG,2864.25,2011
SVK,BRA,5916.01,2018
ITA,VGB,9235,2007
LUX,GRD,7754.04,2001
EST,MEX,1075.03,2004
BEL,COL,2452.93,2014
IRL,PRY,4000.48,2014
POL,SXM,4620.54,2001
NLD,VIR,463,2019
FRA,ATG,617.94,2020
FRA,HND,8541.2,2013
AUT,ABW,3868.46,2014
DNK,VEN,1822.2,2016
HRV,VGB,7894.54,2007
PRT,BOL,5530.09,2004
IRL,MSR,8800.89,2014
ITA,HND,2382.1,2010
LTU,HTI,9889.76,2017
ESP,CRI,1147.12,2004
EST,GUF,5426.35,2010
MLT,VGB,3332.97,2018
MLT,ARG,1587.06,2002
LUX,ABW,872.78,2020
HUN,USA,2716.11,2012
AUT,DMA,9233.59,2019
AUT,VEN,3076.23,2007
ROU,BMU,7714.82,2019
GRC,MAF,9461.82,2012
GRC,URY,6331.44,2005
BEL,DMA,1233.52,2013
HRV,KNA,3865.67,2003
ITA,MSR,5527.07,2013
AUT,PRI,2960.41,2002
GRC,CUB,3154.91,2013
ESP,URY,9655.75,2002
LVA,GRL,1458.31,2016
EST,NIC,5597.28,2002
LTU,GRL,4219.99,2013
DNK,JAM,8057.17,2005
HUN,SLV,601.31,2019
LTU,USA,3375.69,2004
GRC,CHL,7243.2,2002
POL,BMU,8213.6,2016
SWE,TTO,6667.37,2002
MLT,CAN,4844.27,2019
GRC,TTO,4564.07,2019
LUX,PER,4746.72,2009
IRL,PAN,5557.84,2012
DNK,ATG,9747.02,2010
ESP,AIA,1312.39,2011
BGR,CRI,2213.02,2017
LUX,GUF,9224.33,2016
LTU,GTM,4816.17,2012
SVK,HTI,3718.46,2006
CZE,ECU,6617.92,2004
ITA,DOM,6771.88,2001
SVK,MSR,1966.7,2020
BGR,MEX,3594.45,2015
SVN,BLZ,5620,2017
MLT,USA,2118.4,2011
CZE,FLK,1532.86,2001
BGR,BRA,6845.91,2019
CZE,USA,6785.54,2000
CZE,CYM,9341.44,2019
SVN,VEN,7273.16,2003
CYP,VIR,6790.59,2019
LUX,PRI,2428.59,2012
BEL,GRD,4750.6,2008
LTU,DMA,6663.72,2003
IRL,ABW,1755.49,2015
FIN,TTO,4440.78,2001
HUN,GUY,5632.51,2012
POL,CRI,3029.55,2020
PRT,VIR,7691.12,2012
MLT,HND,9059.41,2018
FIN,VGB,8269.05,2015
IRL,MTQ,9715.27,2020
CYP,FLK,9812.91,2009
LVA,VIR,2546.59,2006
CZE,VEN,3942.21,2005
IRL,BMU,7234.04,2002
BGR,MSR,6282.11,2016
ESP,MEX,3377.89,2007
ROU,TTO,897.23,2006
SVN,BMU,5835.55,2005
POL,BLZ,4078.63,2011
HRV,CYM,150.39,2006
BGR,COL,9110.4,2000
PRT,BOL,3352.05,2004
EST,HND,7425.66,2019
HRV,URY,2023.1,2017
NLD,PAN,2512.27,2001
DNK,VEN,4808.97,2017
AUT,BRB,3198.7,2015
BGR,MAF,4648.57,2006
BGR,PRI,4111.76,2001
MLT,BLM,2041.56,2001
ROU,BOL,9522.85,2000
FIN,VCT,9879.6,2013
MLT,SPM,292.21,2001
AUT,TCA,5830.4,2013
EST,TTO,1345.96,2000
ROU,NIC,8743.6,2009
LVA,SLV,8538.17,2013
LTU,ATG,6564.07,2011
HRV,SXM,2479.38,2012
DNK,ECU,8677.25,2005
LTU,CUB,7793.26,2016
SWE,BES,4746.42,2005
SWE,MAF,5807.63,2020
MLT,NIC,3974.46,2009
SVN,MAF,8690.96,2002
HRV,PRY,3147.94,2017
POL,CHL,8970.07,2020
BGR,BOL,9572.94,2006
ESP,FLK,1078.99,2005
DEU,FLK,106.93,2004
LUX,BHS,5548.9,2002
LVA,TCA,1000.21,2008
CYP,VGB,3640.7,2016
CYP,CUW,1051.97,2010
CYP,ATG,2154.29,2011
AUT,ATG,5128.34,2014
BGR,CAN,7177.33,2013
PRT,LCA,5108.15,2018
FIN,VEN,470.25,2013
ROU,AIA,9573.88,2008
POL,MAF,329.85,2009
DNK,BLZ,8773.57,2003
FIN,JAM,5503.5,2014
PRT,GUY,8411,2018
IRL,CUB,1945.03,2010
FIN,CYM,1523.87,2005
ESP,DOM,6719.73,2002
FRA,BES,8567.32,2001
HRV,SLV,6607.77,2010
NLD,GUF,4120.19,2001
LTU,TTO,8204.47,2015
SVN,MEX,4781.05,2008
PRT,GUY,5546.83,2005
CYP,PAN,8893.37,2004
FRA,CUW,2719.46,2014
PRT,SXM,3600.25,2013
MLT,CHL,3698.49,2014
PRT,CYM,3420.46,2016
