CountryS,CountryR,Amount,Year
BMU,VCT,2167.67,2017
TTO,MAF,2914.47,2013
CRI,DMA,2968.96,2004
GTM,CAN,9028.69,2015
BOL,USA,3872.26,2014
MSR,CAN,3718.97,2017
TTO,TCA,2900.51,2006
DOM,HTI,5356.55,2002
HTI,VIR,4058.28,2019
ABW,BOL,7160.72,2014
BES,DMA,3159.44,2007
SLV,GRD,1047.03,2007
JAM,USA,7890.14,2013
HTI,JAM,5072.14,2002
CHL,BRA,8745.94,2007
CUB,BOL,302.1,2020
LCA,NIC,8096.17,2009
SXM,USA,4911.43,2015
COL,MSR,192.55,2010
MAF,HND,3985.71,2007
BRB,SPM,5151.58,2003
TCA,BHS,3511.05,2015
NIC,GRL,481.24,2011
URY,SPM,9476.93,2010
BES,CUB,7793.54,2014
GUY,PER,2250.59,2014
USA,GLP,9904.55,2005
BOL,MSR,5489.08,2003
BRB,DMA,1395.95,2018
PRI,CHL,398.61,2000
MEX,PAN,6405.44,2020
PAN,JAM,5083.69,2003
SXM,SPM,6485.78,2015
PER,BLZ,7786.97,2000
BRB,GUF,6483.92,2006
AIA,HTI,8978.52,2004
ATG,GRD,4622.31,2019
DOM,CUB,455.18,2005
CUW,ANT,1790.73,2019
CUW,PAN,5052.39,2001
VIR,BES,3014.97,2019
GRD,ARG,9909.26,2014
CHL,GRL,2813.58,2020
LCA,GUY,9329.85,2010
TCA,GTM,8437.47,2010
BLM,BOL,6729.56,2012
GRD,GUY,6679.34,2011
MTQ,VCT,9020.44,2013
HTI,BES,6807.36,2007
MEX,TTO,7961.84,2017
CUW,ANT,4636.54,2005
CUB,SXM,9543.83,2001
USA,GRD,2921.16,2007
VIR,KNA,4667.2,2020
CRI,VEN,3854.1,2013
CHL,ARG,3089.08,2015
VCT,ATG,6521.48,2020
ARG,AIA,5499.1,2004
ABW,BES,3396.27,2010
BLZ,BOL,210.11,2004
MSR,COL,6192.34,2015
GRL,URY,7385.18,2004
FLK,PER,6036.84,2008
SUR,NIC,4602.47,2013
BOL,VCT,5424.56,2000
BMU,SUR,5109.73,2019
ABW,GTM,9354.48,2012
PAN,PRI,1143.11,2012
VGB,PAN,4254.73,2010
DMA,TCA,3078.8,2005
BOL,CUB,5926.15,2001
CRI,SPM,4441.25,2009
JAM,USA,2463.24,2014
BRA,NIC,8197.17,2018
CUW,BRB,7947.2,2017
MSR,DOM,4634.16,2020
VGB,LCA,6304.12,2002
HTI,JAM,7895.97,2007
FLK,BMU,4174.02,2008
LCA,BES,4483.68,2000
TTO,ABW,7425.18,2012
CUW,BLM,9482.56,2008
BHS,ECU,3089.68,2014
PRY,SXM,1835.63,2011
BES,PRY,9517.46,2001
SUR,GUF,530.42,2019
GLP,CAN,4745.67,2001
PER,ATG,7813.97,2006
MSR,MEX,2326.88,2004
BLZ,COL,7061.54,2016
MEX,FLK,6593.41,2004
CHL,GUY,6112.94,2014
GUF,COL,7604.26,2000
GLP,JAM,7823.04,2016
GUF,MTQ,3239.57,2019
VEN,GUF,633.68,2003
SUR,BRB,8050.14,2000
BMU,MAF,1627.52,2005
MTQ,SUR,585.8,2009
SPM,MAF,1783.84,2016
ANT,BMU,4900.27,2001
JAM,BRA,4660.01,2003
CUB,KNA,494.38,2012
PAN,BES,8907.4,2015
SPM,VGB,581.88,2018
BHS,PRY,4299.55,2010
TTO,HND,1073.87,2014
MTQ,PER,6429.32,2008
BRA,SPM,9778.9,2013
URY,PRI,2116.58,2013
NIC,SPM,6824.09,2019
VIR,MAF,859.33,2015
ANT,CUW,4354.11,2009
CYM,COL,3031.65,2012
CUW,MAF,1337.68,2017
MAF,CUB,364.25,2020
BRB,VIR,8071.71,2019
AIA,BLZ,7342.28,2008
KNA,ABW,7878.42,2012
LCA,CAN,8581.49,2005
SLV,LCA,4983.31,2000
BLM,ABW,6592.44,2018
NIC,JAM,6654.54,2000
TCA,CUB,6814.99,2002
SXM,GLP,7490.57,2018
KNA,VEN,2448.96,2002
FLK,KNA,7913.56,2011
BRB,PER,5991.13,2002
BHS,BRA,2830.87,2015
URY,BLZ,9037.59,2008
JAM,AIA,1587.15,2016
MSR,DOM,2597.3,2008
BMU,NIC,5410.74,2008
TTO,DOM,5601.43,2011
LCA,DMA,5376.06,2005
MEX,KNA,5537.17,2003
VGB,SPM,9808.58,2012
ANT,CRI,4255.81,2020
TCA,URY,5751.54,2020
GLP,MAF,5362.48,2008
BLZ,AIA,7210.99,2000
BOL,BES,2248.46,2013
BLM,ANT,9271.43,2010
NIC,ECU,6285.37,2012
MTQ,COL,1625.86,2008
GUF,HND,8864.59,2013
BES,VCT,8550.71,2003
JAM,PRY,5986.61,2013
GRL,BES,3587.54,2006
SPM,HTI,1655.6,2010
GUF,BES,473.88,2010
ABW,MTQ,5268.39,2000
CYM,USA,9979.37,2009
BLZ,NIC,8953.15,2015
BOL,MSR,751.67,2010
MAF,HTI,4536.95,2014
HND,URY,161.82,2004
VGB,ECU,7878.98,2015
LCA,BRB,6672.46,2007
HND,CRI,8817.06,2015
KNA,CAN,9636.5,2019
ABW,CUW,1089.66,2013
PAN,CRI,2139.52,2014
BES,GRD,7899.6,2003
HTI,DMA,1910.9,2014
BRB,BOL,9898.52,2005
NIC,GUY,3710.48,2005
SLV,ARG,1539.63,2011
CYM,PER,6448.15,2003
GRD,BHS,143.36,2020
TCA,PRI,6741.92,2015
CAN,PRI,2811.08,2010
GRL,BRB,6827.84,2003
BLZ,TTO,9960.07,2013
MSR,CRI,8835,2002
PAN,CYM,659.99,2004
VCT,NIC,5144.12,2012
SXM,DMA,645.47,2018
MAF,GRD,1704.07,2014
GLP,SUR,9915.47,2006
MEX,MEX,3855.77,2020
CUB,MAF,191.75,2016
AIA,VCT,1805.41,2005
PRY,VIR,7772.33,2000
MEX,HTI,9422.96,2000
HND,SLV,3716.87,2020
PAN,GRD,4811.28,2014
GRD,USA,9547.26,2019
MTQ,GRL,6095.98,2018
SUR,BHS,2209.41,2005
CAN,DMA,6589.14,2004
KNA,BOL,4084.02,2006
GUF,BES,5305.53,2001
MTQ,PRY,8946.02,2012
SPM,GTM,3333.66,2020
GRL,ARG,9354.06,2002
PRI,VEN,2901.51,2018
DMA,TCA,2764.29,2020
SLV,VCT,412.03,2001
HND,ABW,7474.9,2017
GLP,BLM,7708.92,2020
KNA,CUW,778.92,2002
BMU,VEN,5074.39,2014
CHL,BMU,1851.9,2017
MSR,GLP,7532.56,2016
BRA,PRI,268.25,2013
GTM,GRD,2042.7,2018
VGB,SPM,7986.92,2012
GUF,BES,8704.56,2010
BOL,CYM,5782.69,2003
ATG,GRL,3942.7,2005
CYM,BHS,9535.74,2013
SLV,CYM,5234.53,2000
MSR,CRI,3818.4,2016
CAN,BES,4160.91,2014
MAF,DMA,388.76,2020
GTM,MEX,459.15,2004
PRY,USA,2307.19,2002
GRD,TTO,3292.01,2012
VEN,ANT,162.46,2016
CRI,VCT,4870.34,2017
PRI,DMA,7463.6,2004
TTO,PER,1165.77,2005
HND,HND,5233.68,2013
SLV,GRL,8357.46,2005
ECU,VIR,6494.12,2003
GUF,COL,3805.66,2017
BHS,TCA,1272.24,2007
PRI,VGB,3036.26,2012
PER,SXM,6323.17,2001
BOL,ATG,3357.7,2000
GUF,SPM,9179.53,2010
JAM,MTQ,3385.43,2001
VIR,JAM,4509.16,2005
CRI,GLP,4065.99,2000
URY,HND,6204.13,2016
MEX,BES,1893.41,2017
VGB,CYM,7496.85,2017
PAN,GUF,682.04,2016
TCA,PAN,2581.88,2008
DOM,SLV,7924.31,2009
VCT,BMU,3056.7,2005
MEX,PRY,8934.3,2008
PRI,MEX,1896.29,2011
GRL,URY,155.62,2015
TCA,NIC,1274.81,2012
SXM,SUR,4342.42,2001
HTI,CUW,9767.17,2002
SXM,PRI,4980.37,2003
VEN,BHS,106.27,2014
BOL,DMA,2465.93,2002
AIA,BES,7750.43,2018
MEX,GRD,4877.61,2008
USA,CUB,1253.14,2005
BHS,CUW,2709.37,2012
COL,JAM,4335.84,2014
HND,FLK,7345.32,2002
VEN,SUR,7114.28,2016
CUW,CHL,4206.3,2001
VGB,PAN,4698.14,2002
FLK,LCA,8742.62,2004
PRI,PRY,914.5,2018
BMU,ABW,865.92,2006
VIR,VEN,1189.03,2005
GUY,ECU,3524.54,2002
GUY,SXM,9865.58,2003
URY,DMA,4969.15,2014
BHS,CAN,4040.32,2012
MTQ,GTM,6809.83,2002
ATG,DMA,6971.3,2019
ANT,JAM,5011.56,2012
CHL,PAN,1142.11,2007
CYM,COL,7427.51,2012
MAF,VEN,902.96,2009
FLK,FLK,6256.81,2005
GUF,GRD,687.83,2019
VCT,CYM,4019.49,2010
BES,MEX,8007.18,2014
BHS,TCA,7719.67,2017
ANT,MTQ,8754.07,2016
DMA,PRY,410.6,2010
GRL,BOL,443.1,2007
SXM,PRY,9204.97,2020
JAM,JAM,977.76,2009
VGB,BRA,2844.1,2003
GRD,JAM,3411.6,2015
NIC,LCA,3725.45,2000
BMU,PAN,5911.25,2003
BLM,ABW,8479.03,2020
SPM,CHL,9218.95,2013
ARG,GTM,1106.08,2015
BLZ,ANT,1508.21,2002
BES,BRB,7620.14,2010
VGB,JAM,6065.11,2020
MEX,DOM,3289.88,2013
BRB,PER,1878.2,2017
GUY,VCT,5620.58,2010
VEN,NIC,5493.5,2005
PRI,BLZ,4664.01,2019
PRI,JAM,3934.04,2019
ECU,MTQ,2723.31,2008
CHL,SLV,1062.27,2009
PRY,BOL,5359.45,2011
BOL,BHS,8287.73,2006
ABW,TCA,4523.74,2012
MTQ,ATG,346.83,2009
ATG,GUF,7772.19,2020
CHL,CUB,1369.31,2014
DMA,VCT,7373.81,2010
ECU,BMU,9358.64,2000
GRD,TTO,1080.22,2001
PAN,HTI,5630.27,2011
KNA,PER,1209.79,2013
VIR,VCT,5380.22,2004
VGB,MEX,1794.28,2009
PRI,GTM,4297.61,2001
CUB,SXM,8051.3,2007
PRY,SLV,301.88,2018
ANT,GRL,8550.13,2018
CUW,ABW,9627.79,2010
CRI,GUY,8881.46,2019
ECU,BLZ,2657.18,2011
HTI,GUY,4583.5,2009
USA,LCA,1536.64,2013
BES,SLV,295.76,2017
ARG,CYM,557.64,2009
FLK,ARG,4760.64,2000
GTM,GUF,6734.92,2004
MSR,CUB,7336.26,2000
TTO,CAN,9446.63,2018
NIC,CRI,3729.2,2015
PAN,SPM,8991.62,2010
ARG,DOM,868.62,2001
BHS,TCA,7115.08,2011
TTO,BOL,5331.81,2002
ANT,CRI,3501.73,2007
KNA,ECU,8428.21,2002
PAN,NIC,4235.08,2017
KNA,BRA,6339.38,2002
VCT,MAF,4501.5,2017
MSR,PAN,5380.84,2010
CUB,LCA,7086.45,2015
AIA,BHS,4605.5,2007
PRY,KNA,2775.69,2000
DMA,DOM,5651.29,2007
BOL,CUW,4226.08,2020
GTM,KNA,2016.55,2019
BOL,TTO,9843.11,2004
BRA,CYM,5331.05,2007
BRB,NIC,4195.22,2008
JAM,SLV,5771.72,2020
DOM,GUF,277.91,2006
SPM,CHL,8852.62,2005
VEN,BES,1392.41,2005
GRL,COL,9003.37,2014
ECU,VCT,3693.29,2017
GUF,URY,8937.68,2006
TCA,USA,2268.25,2014
HTI,AIA,3566.89,2018
CUW,LCA,7289.08,2017
GUY,USA,7594.59,2012
BOL,TTO,5842.77,2016
MEX,GTM,2777.7,2016
BRA,KNA,4034.37,2016
CRI,VEN,9330.49,2009
HTI,BOL,7276.21,2006
HTI,AIA,9339.98,2004
SUR,CRI,579.02,2004
PAN,GLP,2821.27,2000
SXM,JAM,8821.51,2005
SPM,SXM,2130.1,2016
SUR,MEX,77.63,2008
DOM,CAN,7567.71,2000
CAN,KNA,5056.72,2015
GTM,GUY,5188.49,2002
BHS,MSR,5532.9,2002
USA,JAM,6748.23,2016
MEX,MSR,2450.31,2002
BHS,SUR,4866.66,2019
SPM,BLZ,1051.21,2000
GTM,BMU,8042.49,2017
CUW,LCA,2.7,2017
BES,USA,9763.18,2009
ECU,ATG,693.3,2001
PER,URY,257,2017
GRD,GUF,9740.15,2016
TCA,PRI,5510.62,2018
PRY,VIR,5522.08,2001
ARG,VGB,4172.99,2002
SXM,MTQ,6779.99,2007
ATG,MSR,270.55,2002
MAF,ANT,2359.73,2017
PRI,MEX,5258.51,2019
BRA,GUY,3639.87,2020
KNA,PAN,1198.93,2012
PRY,LCA,7658.75,2001
TCA,ANT,9731.7,2020
ARG,BHS,4053.94,2019
GUF,MSR,2620.63,2004
ECU,HND,9155.54,2015
BRA,TTO,9430.63,2012
PAN,COL,3144.58,2008
GTM,GRL,2870.77,2016
BHS,VGB,6592.96,2018
PER,PAN,3662.54,2002
GUF,BRA,5100.79,2014
BRB,CRI,3524.63,2002
MEX,HND,6762.93,2015
SUR,PER,4161.91,2000
AIA,USA,8671.94,2007
LCA,GRL,7097.99,2017
MSR,CUB,1769.72,2013
USA,URY,4128.8,2001
ATG,BLM,5742.98,2001
PRI,HND,1099.22,2001
BHS,HND,5601.65,2005
PER,SPM,285.26,2008
GUF,SXM,7044.78,2018
CAN,ANT,8385.42,2020
CUW,DOM,8251.68,2011
FLK,CYM,7414.75,2011
ANT,SXM,244.44,2011
PRY,CHL,9451.52,2017
ECU,AIA,9202.97,2000
ECU,JAM,7170.36,2019
BHS,BLZ,2955.61,2014
BHS,MSR,1118.73,2002
DMA,TTO,6450.19,2000
PAN,LCA,3623.15,2003
BHS,PAN,2222.19,2012
FLK,CUW,9373.05,2015
COL,MSR,6759.82,2001
COL,ECU,7448.07,2018
ECU,HTI,8463.51,2001
MEX,BMU,7319,2007
ECU,AIA,1629.68,2008
GUF,GLP,968.76,2017
GUF,URY,6927.69,2012
SLV,ATG,4223.8,2017
CRI,BRB,366.46,2013
ABW,GRL,9825.79,2011
GUF,VEN,9113.96,2019
AIA,GLP,1023.37,2006
SLV,AIA,9558.31,2019
ABW,GRL,9163.98,2018
DOM,URY,8136.53,2008
MSR,KNA,2804.37,2003
VEN,BHS,7478.39,2012
DOM,SXM,4628.41,2001
GTM,CRI,5594.2,2002
TCA,COL,3203.93,2005
ABW,FLK,2543.98,2007
BMU,LCA,6532.35,2000
HTI,PER,1286.54,2020
FLK,CUB,9622.07,2006
CAN,ANT,8022.28,2005
BLZ,USA,1958.02,2009
DOM,MSR,1003.25,2015
SXM,LCA,4866.38,2019
MEX,ANT,5996.59,2012
PRI,VEN,3570.66,2007
GRD,PAN,486.09,2009
MEX,MEX,2967.52,2002
GRD,HND,1379.97,2015
BLM,BHS,7195.39,2009
SUR,ANT,7423.37,2008
AIA,BLM,8640.61,2012
BOL,VIR,2795.03,2000
NIC,CYM,3525.44,2020
COL,CUB,3821.21,2017
GRL,GUY,9615.93,2000
HND,GUY,4382.73,2011
PER,BMU,9308.9,2009
MSR,ABW,3555.31,2008
HTI,VEN,9245.87,2008
GLP,MEX,969.08,2008
BRB,BRB,1176.9,2013
MAF,BRB,8830.38,2009
PER,HND,8542.06,2015
COL,BLM,2112.64,2009
ARG,TCA,5058.32,2020
VGB,URY,9438.07,2007
PRY,DOM,5958.06,2001
HND,JAM,2050.49,2007
SXM,CAN,1214.09,2011
CHL,BLM,5666.79,2015
CHL,SLV,8352.47,2008
JAM,MAF,8434.74,2001
ATG,ARG,6621.58,2007
PER,TTO,7536.67,2007
KNA,COL,6949.79,2011
PRI,TCA,4822.51,2011
ANT,BMU,7193.51,2013
FLK,SXM,7947.83,2014
GUY,MTQ,7497.19,2014
ARG,CHL,8809.33,2020
KNA,NIC,1107.9,2011
BRB,VCT,3147.56,2014
CRI,VGB,1269.18,2009
CRI,CYM,4717.74,2006
DMA,CAN,827.41,2002
ECU,BES,8768.89,2006
CRI,URY,857.21,2016
USA,SLV,8756.91,2017
BRA,PAN,5663.93,2010
ATG,HTI,6165.74,2010
BHS,ECU,4116.62,2007
MSR,MTQ,441.63,2010
BHS,PAN,9518.56,2005
BOL,BRA,2679.82,2005
LCA,GTM,1545.44,2018
BHS,LCA,1557.91,2019
VCT,BRA,7344.06,2018
PER,TCA,9449.6,2002
SUR,GTM,9031.25,2014
PAN,PER,115.19,2019
DMA,CUW,4465.71,2002
CRI,MSR,331.9,2019
ANT,PAN,642.54,2019
KNA,VCT,5542.95,2020
JAM,CHL,8275.9,2003
PAN,CYM,40.48,2004
MEX,CUW,6079.32,2003
HND,JAM,9773.44,2004
VEN,MSR,2978.17,2004
CAN,VIR,958.4,2020
NIC,GUY,9564.62,2002
BRA,GUY,6071.15,2003
GLP,SLV,7388.11,2017
ECU,GRD,2060.55,2009
DMA,BLZ,9625.33,2009
USA,LCA,9776.73,2005
COL,TTO,4590.7,2005
GTM,CAN,3338.19,2020
VEN,SUR,7394.44,2003
TCA,GLP,719.41,2012
LCA,ARG,7776.2,2009
SXM,CUB,3568.62,2003
MSR,GTM,4727.28,2016
SLV,GUY,1939.22,2015
VIR,PER,1183.87,2018
VEN,BMU,2498.37,2015
BOL,SXM,9764.29,2019
CRI,BES,9118.49,2016
AIA,SLV,4430.86,2013
AIA,ARG,6953.37,2006
ATG,ARG,3414.04,2016
NIC,GTM,8532.79,2003
PRY,KNA,4502.14,2020
SPM,TTO,804.32,2020
BES,BLZ,7114.33,2015
KNA,BLZ,4197.62,2004
PAN,JAM,9322.88,2013
SPM,TTO,8295.79,2003
BHS,BHS,7333.52,2020
SUR,TTO,3527.05,2011
CHL,KNA,9185.17,2010
PRY,VEN,9380.68,2019
GUY,SXM,1450.38,2013
MTQ,ATG,829.86,2005
GTM,BLM,9413.67,2004
BMU,NIC,8066.69,2000
VGB,GLP,8974.84,2007
CUW,CAN,5518.5,2004
BLM,PAN,5707.21,2007
GUF,ANT,452.9,2005
BOL,MSR,3821.77,2020
VCT,CYM,1785.29,2010
HND,VEN,6626.91,2016
VGB,CAN,9451.04,2011
BLM,BRB,1556.08,2019
AIA,AIA,8301.29,2014
USA,BOL,4205.94,2007
VGB,TTO,4547.83,2017
GRD,GRD,134.74,2001
KNA,LCA,2148.48,2011
PER,ANT,6485.8,2010
JAM,CHL,8081.87,2007
GLP,BLM,3172.98,2009
USA,DOM,2836.6,2000
DMA,FLK,1409.38,2005
MEX,PRI,5782.31,2008
GUY,AIA,519.25,2002
BLZ,VEN,9234.79,2007
GTM,MSR,7084.01,2012
MSR,GRL,5745.51,2013
PRI,KNA,3287.37,2010
MAF,CAN,8405.81,2003
CUW,SUR,1866.8,2016
ECU,CRI,8481.07,2002
ATG,BHS,7273.95,2016
GUY,CRI,4038.29,2006
GUY,PRI,7571.1,2006
MTQ,DMA,9433.31,2000
GRL,PRI,9298.95,2020
BOL,ABW,9142.36,2010
GRD,ABW,8325,2016
MTQ,URY,8844.25,2020
MAF,BLM,2478.04,2020
PAN,DMA,9612.77,2015
CUW,URY,8644.44,2016
VGB,PER,6709.96,2015
CYM,TCA,8704.39,2014
ABW,PER,1375.03,2013
BES,ATG,1811.75,2017
PRY,DOM,9195.96,2017
GRL,VGB,4518.5,2004
USA,VCT,1348.93,2004
PER,GUF,6582.76,2013
SPM,BLZ,2704.77,2001
VIR,FLK,4178.37,2005
SLV,SPM,8730.47,2011
BMU,ECU,9020.65,2001
CUW,CAN,1859.92,2009
CRI,PRY,798.1,2015
MTQ,BES,1074.38,2008
ARG,PRI,961.82,2009
BLZ,BRB,6210.61,2019
PRI,GRD,602.36,2015
HND,BMU,8878.38,2018
NIC,GRL,9599.47,2013
SLV,MSR,6077.72,2020
GRL,PER,5338.83,2007
BHS,ATG,4018.01,2003
NIC,MTQ,4428.51,2007
VGB,BLZ,6041.49,2000
BLM,CHL,3283.4,2017
ANT,NIC,2512.32,2005
BRB,SPM,5182.83,2006
ARG,ATG,1919.21,2014
DOM,GTM,5252.83,2010
SPM,SUR,5513.65,2011
MTQ,BMU,6537.1,2017
SUR,BMU,9072.02,2019
VCT,CYM,1727.23,2013
COL,BLZ,3420.18,2006
HTI,PER,7462.94,2018
CUW,AIA,8026.33,2004
HND,BHS,3218.93,2005
BLZ,VGB,4032.05,2014
PRI,BMU,1810.24,2002
FLK,PAN,7237.17,2004
MAF,ARG,5862.8,2008
BRB,PRY,8345.89,2013
DOM,URY,3846.48,2019
BHS,KNA,5754.09,2011
CUW,HTI,7835.57,2011
GRD,BES,891.98,2002
